Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   42    2 0xffffff7f81418000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 2D2996CA-A15E-39E6-9D6B-2BE6DF131972 <4 1>
   43    1 0xffffff7f8141d000 0x21000    0x21000    com.apple.security.sandbox (300.0) C8A80BD1-78EC-384E-AD40-43F8EE9B5E60 <42 36 24 7 6 5 4 3 2 1>
   44    0 0xffffff7f8143e000 0x9000     0x9000     com.apple.security.quarantine (3) 80C4548A-999E-3F96-85B0-6C6F95A542A7 <43 42 7 6 5 4 2 1>
   45    0 0xffffff7f83880000 0x8000     0x8000     com.apple.nke.applicationfirewall (183) CBC1954F-5BBE-3FD5-B1BD-24E999226FEF <7 6 5 4 3 1>
   46    0 0xffffff7f83697000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) 9E5B1713-854A-32DC-89E7-E1765F4B3AE3 <12 4 3>
   47    0 0xffffff7f82d03000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) 93D205A0-CB89-3661-9164-52C412DF576C <7 4 3>
   48    0 0xffffff7f83332000 0x3000     0x3000     com.apple.driver.AppleHPET (1.8) 53185B91-044A-3437-BCB4-DA18945A2BB9 <11 7 5 4 3>
   50    0 0xffffff7f82d34000 0x8000     0x8000     com.apple.driver.AppleRTC (2.0) 9405586F-1673-31BE-8789-C5F501198B93 <11 7 5 4 3 1>
   51   10 0xffffff7f80a55000 0x91000    0x91000    com.apple.iokit.IOHIDFamily (2.0.0) 3E3F5B83-8039-3B24-B2C4-74880EC15251 <7 6 5 4 3 2 1>
   52    0 0xffffff7f8376e000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) 867A1DB9-995C-3C9E-A991-BF33F22F734A <51 15 14 11 7 6 5 4 3 1>
   53    2 0xffffff7f81ac6000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) 9CFF73D8-2872-3FC0-AEE5-334587EAA4D0 <5 4 3>
   54    0 0xffffff7f83764000 0x7000     0x7000     com.apple.driver.AppleACPIEC (6.1) 00F1F962-B55B-3339-80D6-A0787A895E43 <53 14 11 5 4 3>
   55    2 0xffffff7f81b98000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 45F80912-F34B-3EE9-AA62-F35448246837 <7 6 5 4 3>
   56    0 0xffffff7f81b9d000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) F35A52E2-CF80-3BA9-92B5-25EFE216094F <55 7 6 5 4 3 2 1>
   57    1 0xffffff7f816ed000 0x52000    0x52000    com.apple.driver.usb.AppleUSBXHCI (1.2) 852953BE-202A-320C-B151-31AED2DE985A <30 29 11 7 6 5 4 3 1>
   58    0 0xffffff7f8173f000 0x38000    0x38000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 2C6B1F11-4EAA-3768-92AA-2F98DFC1254C <57 30 29 12 11 7 6 5 4 3 1>
   59    0 0xffffff7f82ea9000 0xb000     0xb000     com.apple.driver.AppleIntelLpssGspi (3.0.60) 47AE3903-24FE-3609-9923-5E9286C8D7F6 <12 11 7 5 4 3>
   60    2 0xffffff7f81f2f000 0x1d000    0x1d000    com.apple.iokit.IOAHCIFamily (288) 50673EBC-47A0-329A-B58C-081A6EDF6BF4 <5 4 3 1>
   61    0 0xffffff7f8369c000 0x14000    0x14000    com.apple.driver.AppleAHCIPort (329.50.2) 312FA732-CA91-3180-8373-5BE2E893339F <60 12 5 4 3 1>
   64    2 0xffffff7f81f84000 0x33000    0x33000    com.apple.driver.corecapture (1.0.4) C208BB9A-2092-3E61-A62C-5F24C4909F8B <7 6 5 4 3 1>
   65    1 0xffffff7f81bed000 0x7000     0x7000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) EE7B82F9-F4B1-39F5-9CE8-02661C018C68 <22 4 3 1>
   66    1 0xffffff7f81fb7000 0x101000   0x101000   com.apple.iokit.IO80211Family (1200.12.2) 8061A404-D739-345E-99E8-1BE6194C9A86 <64 36 22 9 7 6 5 4 3 1>
   67    0 0xffffff7f820b8000 0x7b6000   0x7b6000   com.apple.driver.AirPort.BrcmNIC (1240.29.1a7) 7EE6896B-5E96-33DA-B1AB-6EF29A97A5D9 <66 65 64 22 12 7 6 5 4 3 1>
